,cwgp_combination,result
0,"(('sa', 1), ('sa', 2))","(0.003456768256086044, 0.00439924741083156)"
1,"(('sa', 1), ('sa', 3))","(0.003456776330263022, 0.004399259048622735)"
2,"(('sa', 1), ('sal', 1))","(0.004797568551010144, 0.005474112280891775)"
3,"(('sa', 1), ('sal', 2))","(0.003973505053402683, 0.004881043926271562)"
4,"(('sa', 1), ('sal', 3))","(0.003214222455712334, 0.004251712337623224)"
5,"(('sa', 1), ('box_cox', 1))","(0.00363964442385891, 0.004570003399155976)"
6,"(('sa', 1), ('box_cox', 2))","(0.0034362858104281246, 0.004345186169941567)"
7,"(('sa', 1), ('box_cox', 3))","(0.0033371718113213316, 0.004202801010604144)"
8,"(('sa', 2), ('sa', 1))","(0.0034567697119898305, 0.004399252512681062)"
9,"(('sa', 2), ('sa', 3))","(0.0034567733081627217, 0.0043992560004487745)"
10,"(('sa', 2), ('sal', 1))","(0.004797591125822588, 0.0054741308220646835)"
11,"(('sa', 2), ('sal', 2))","(0.017366554259576377, 0.01748958896853725)"
12,"(('sa', 2), ('sal', 3))","(0.0031241002812247725, 0.0038218224847967473)"
13,"(('sa', 2), ('box_cox', 1))","(0.003639650551829917, 0.004570007961529595)"
14,"(('sa', 2), ('box_cox', 2))","(0.003436306986435584, 0.004345204028009059)"
15,"(('sa', 2), ('box_cox', 3))","(0.003337229905070397, 0.004202859048415458)"
16,"(('sa', 3), ('sa', 1))","(0.0034567718424814986, 0.004399253106361904)"
17,"(('sa', 3), ('sa', 2))","(0.003456772584637954, 0.004399255242167484)"
18,"(('sa', 3), ('sal', 1))","(0.004797454097744827, 0.005474017805828306)"
19,"(('sa', 3), ('sal', 2))","(0.07815437389981572, 0.07827934031562014)"
20,"(('sa', 3), ('sal', 3))","(0.004391747617308269, 0.00518079741014461)"
21,"(('sa', 3), ('box_cox', 1))","(0.0036396462755344766, 0.004570003559075666)"
22,"(('sa', 3), ('box_cox', 2))","(0.003436300377220084, 0.004345197982877557)"
23,"(('sa', 3), ('box_cox', 3))","(0.0033371905863765483, 0.004202820461747685)"
24,"(('sal', 1), ('sa', 1))","(0.004770108104756139, 0.005452094631696215)"
25,"(('sal', 1), ('sa', 2))","(0.00499888628501038, 0.00566659828598148)"
26,"(('sal', 1), ('sa', 3))","(0.005010866113273901, 0.005676313138951883)"
27,"(('sal', 1), ('sal', 2))","(0.033564477366527526, 0.03385443990770804)"
28,"(('sal', 1), ('sal', 3))","(0.004465697194567809, 0.005204515814066432)"
29,"(('sal', 1), ('box_cox', 1))","(0.005642826236152663, 0.006142215358934265)"
30,"(('sal', 1), ('box_cox', 2))","(0.004490409262139922, 0.005221251544749993)"
31,"(('sal', 1), ('box_cox', 3))","(0.004438298236503637, 0.005141546154699076)"
32,"(('sal', 2), ('sa', 1))","(0.004229547293445756, 0.004979144776660685)"
33,"(('sal', 2), ('sa', 2))","(0.010689752360133213, 0.01092086124656484)"
34,"(('sal', 2), ('sa', 3))","(0.0028886796134880988, 0.0034344902047819476)"
35,"(('sal', 2), ('sal', 1))","(0.06499122264750526, 0.06936298270772125)"
36,"(('sal', 2), ('sal', 3))","(0.0033595268032515857, 0.004091536165965275)"
37,"(('sal', 2), ('box_cox', 1))","(0.0031533461921037904, 0.0038644353336796306)"
38,"(('sal', 2), ('box_cox', 2))","(0.25730660162723307, 0.2683323173928296)"
39,"(('sal', 2), ('box_cox', 3))","(0.0060554796693602685, 0.006484351944828778)"
40,"(('sal', 3), ('sa', 1))","(0.003116348889844015, 0.0037674075005477542)"
41,"(('sal', 3), ('sa', 2))","(0.00354037013702152, 0.004531102482507291)"
42,"(('sal', 3), ('sa', 3))","(0.004145745600654346, 0.005017726572500803)"
43,"(('sal', 3), ('sal', 1))","(0.19997093958043655, 0.20001981311174918)"
44,"(('sal', 3), ('sal', 2))","(0.0031776178678822003, 0.004024011539704023)"
45,"(('sal', 3), ('box_cox', 1))","(0.003558845053583452, 0.004622762988298367)"
46,"(('sal', 3), ('box_cox', 2))","(0.028106439156612307, 0.03736357752618925)"
47,"(('sal', 3), ('box_cox', 3))","(0.011085610088854555, 0.011239387634670585)"
48,"(('box_cox', 1), ('sa', 1))","(0.002965353289780735, 0.004014538372713021)"
49,"(('box_cox', 1), ('sa', 2))","(0.0029653854071706254, 0.004014567614252771)"
50,"(('box_cox', 1), ('sa', 3))","(0.00296532573057115, 0.004014517711110993)"
51,"(('box_cox', 1), ('sal', 1))","(0.0039743533318323965, 0.004861996164349155)"
52,"(('box_cox', 1), ('sal', 2))","(0.0031275063195403724, 0.003805464888026775)"
53,"(('box_cox', 1), ('sal', 3))","(0.0030201060366827465, 0.00393640885287628)"
54,"(('box_cox', 1), ('box_cox', 2))","(0.00640073631899626, 0.006803433863119629)"
55,"(('box_cox', 1), ('box_cox', 3))","(0.006654536246573687, 0.007026218648995565)"
56,"(('box_cox', 2), ('sa', 1))","(0.0029700227167528243, 0.004043894595707485)"
57,"(('box_cox', 2), ('sa', 2))","(0.002969957869121722, 0.004043799824904112)"
58,"(('box_cox', 2), ('sa', 3))","(0.002970090722619449, 0.004043999337265881)"
59,"(('box_cox', 2), ('sal', 1))","(0.003196005014757352, 0.004230793491175382)"
60,"(('box_cox', 2), ('sal', 2))","(0.10262882465757965, 0.10272402158780929)"
61,"(('box_cox', 2), ('sal', 3))","(0.002970793200903369, 0.004026973240006492)"
62,"(('box_cox', 2), ('box_cox', 1))","(0.0047682192466948535, 0.005469455741187658)"
63,"(('box_cox', 2), ('box_cox', 3))","(0.0054759518471123115, 0.006019800957424787)"
64,"(('box_cox', 3), ('sa', 1))","(0.005797861180820656, 0.00625316595342699)"
65,"(('box_cox', 3), ('sa', 2))","(0.005674828836915482, 0.006147084275591118)"
66,"(('box_cox', 3), ('sa', 3))","(0.005823790615636466, 0.006275560444191173)"
67,"(('box_cox', 3), ('sal', 1))","(0.006240399467606302, 0.006651312921204034)"
68,"(('box_cox', 3), ('sal', 2))","(0.0036690515655853273, 0.004639083673690381)"
69,"(('box_cox', 3), ('sal', 3))","(0.0030756590816925617, 0.004112333108628633)"
70,"(('box_cox', 3), ('box_cox', 1))","(0.006688940744854924, 0.00707891695597048)"
71,"(('box_cox', 3), ('box_cox', 2))","(0.007259716266769071, 0.0075833568757080775)"
